Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1814.435922435602
FDW14,OUT017,1528.9773906916594
NCN55,OUT010,1912.441005273381
FDQ58,OUT017,2547.062016480908
FDY38,OUT027,5134.222957431775
FDH56,OUT046,1953.8472542897207
FDL48,OUT018,626.0900392240341
FDC48,OUT027,2754.4476958369823
FDN33,OUT045,1534.7157484498648
FDA36,OUT017,3038.5596512897605
FDT44,OUT017,1992.5977160649654
FDQ56,OUT045,1365.2992600593193
NCC54,OUT019,1887.0880992637171
FDU11,OUT049,2031.3188948021616
DRL59,OUT013,906.737075464076
FDM24,OUT049,2511.839661582531
FDI57,OUT045,3183.524607441182
DRC12,OUT018,2786.812558621375
NCM42,OUT027,3187.347897443589
FDA46,OUT010,1169.8285767338866
FDA31,OUT013,2816.31065404825
NCJ31,OUT035,3880.682072373035
FDG52,OUT046,839.8432258817662
NCL19,OUT019,385.70257639865395
FDS10,OUT035,2982.7359817015454
FDX22,OUT010,1451.3565998817471
NCF19,OUT035,924.2041815009519
NCE06,OUT046,2581.714991113367
DRC27,OUT046,3869.5138738187916
FDE21,OUT035,2011.3849572536785
NCR42,OUT019,-1319.0500697630637
FDX51,OUT018,2861.746802993737
NCR06,OUT018,477.46806368774423
FDU31,OUT027,4904.354538439879
FDU59,OUT017,2683.6644751826657
FDR03,OUT027,4693.796052391551
FDS49,OUT027,2741.6252650164847
FDD48,OUT010,-48.23875400744487
NCF18,OUT017,3106.5440825585483
NCD43,OUT027,3091.1840960779764
NCD54,OUT018,2031.591167846856
FDY19,OUT010,7.708286720826663
NCY54,OUT017,2820.022673726095
NCL19,OUT018,2058.4394081716464
FDP23,OUT010,1541.1557349476052
FDC26,OUT013,1832.7652819109521
FDR14,OUT010,-961.9459362285138
NCS41,OUT035,3016.396655232518
FDF41,OUT035,4014.959366687037
FDU34,OUT046,2028.0862538498063
DRH11,OUT046,978.7110931788176
FDM03,OUT013,1746.2100464154412
FDS31,OUT017,2990.1518773099547
FDJ20,OUT017,2082.082491899312
FDV44,OUT027,4456.062165228978
FDG02,OUT049,3063.6190873889527
FDA09,OUT013,2901.821557295122
FDT04,OUT013,694.7936736843487
FDL58,OUT019,2273.5780705988964
FDE52,OUT045,1453.7805951342987
FDW12,OUT035,2457.5735941736584
FDL51,OUT017,3495.350159598926
NCY42,OUT027,3675.9524716793403
FDR07,OUT017,1662.4734415779708
FDN40,OUT045,2386.9268280496003
FDB35,OUT027,2922.5925083844395
FDA22,OUT017,2708.5139743508776
NCL06,OUT046,4141.760470804169
FDI35,OUT013,2900.5948559053795
NCW42,OUT045,3443.661614804696
NCX06,OUT049,2919.4263342851823
FDC37,OUT027,3171.37912920477
FDZ14,OUT018,1740.8935550140313
DRG49,OUT049,3923.0667122943128
NCG06,OUT045,3978.9931613975614
DRC36,OUT045,2737.0583899894477
FDV21,OUT019,102.2643110816166
FDB53,OUT046,2389.4586073433024
DRP47,OUT019,2067.222837237827
FDA14,OUT013,2341.9470513211354
DRC24,OUT035,2547.4580128465573
FDW21,OUT018,1409.7904347431465
NCH29,OUT046,1602.5484010446921
FDU58,OUT013,3043.6242876202045
FDY27,OUT017,2893.108585542982
FDV56,OUT035,1922.8643901015598
FDT59,OUT046,3660.0180237178524
FDB23,OUT046,3610.527623323847
FDR49,OUT045,745.2196181316389
FDB03,OUT010,1940.0391054041881
FDN39,OUT045,2617.362255948244
FDX02,OUT027,4939.723770451402
FDQ16,OUT027,3164.5843977036657
FDU35,OUT018,1359.1082554400602
NCT29,OUT013,1984.083499470432
FDZ27,OUT046,848.1358603367528
FDN57,OUT017,2319.2043995078484
FDA03,OUT018,2099.0159855883758
FDZ36,OUT045,2924.912333036177
NCU05,OUT013,1353.0642916980646
FDT39,OUT018,2187.6016119697115
FDK60,OUT017,1678.5954966106299
FDZ25,OUT017,2795.613529366343
FDG12,OUT046,2017.4328015248764
DRB01,OUT019,1136.009520060914
NCC43,OUT027,5354.151379090826
FDX13,OUT019,2025.3308697152318
FDM22,OUT049,995.6261265585441
FDJ03,OUT027,2281.4616222287978
FDU14,OUT018,3674.4597050558295
FDB33,OUT010,663.6652009508689
FDP27,OUT046,3038.113900414944
FDO38,OUT010,-625.8903187005217
FDE28,OUT027,5101.043491938518
FDO27,OUT035,1685.768657655984
DRL23,OUT027,3151.524649472531
FDS28,OUT046,993.1301477290848
FDX24,OUT013,1535.5483407174834
FDZ02,OUT035,1709.5459790854757
FDL46,OUT045,1838.249254757955
FDS60,OUT027,4258.724987572547
NCO06,OUT017,654.062403197467
FDO16,OUT035,1503.3492813354399
FDC60,OUT049,1519.0257350774327
FDA48,OUT018,3216.9890644734032
FDZ36,OUT027,4401.949739704788
FDK27,OUT045,1898.7348131750264
FDW23,OUT018,424.4198715755166
FDM14,OUT018,1529.8405843925789
FDM14,OUT013,1779.285573772049
FDW60,OUT018,2598.494510607101
FDE21,OUT013,1919.9213732250769
NCM42,OUT035,1876.634200082278
FDY59,OUT010,-357.6218795944171
DRI49,OUT049,1389.7117642133235
FDT28,OUT019,521.6477098632176
FDQ22,OUT018,439.73952678157525
FDR60,OUT049,1323.4840311861735
FDC50,OUT019,-356.2484473671268
FDV24,OUT013,2442.570066013966
DRF48,OUT010,1092.2166714742611
FDQ47,OUT046,688.9171673747373
DRN36,OUT049,1645.9177182123033
NCY06,OUT035,2170.3339126902774
FDE52,OUT035,1605.004664695024
NCB54,OUT045,1988.3103018850268
NCF31,OUT035,2540.818395567834
FDJ08,OUT027,4439.968234187373
NCC07,OUT017,1785.0830738220754
