Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1727.8573947988652
FDW14,OUT017,1584.2150630661438
NCN55,OUT010,547.8537308923114
FDQ58,OUT017,2602.8651985328192
FDY38,OUT027,6121.1833212916545
FDH56,OUT046,1872.4786635645783
FDL48,OUT018,538.5007320735472
FDC48,OUT027,1945.5990183270887
FDN33,OUT045,1538.8854582956003
FDA36,OUT017,3167.019605755604
FDT44,OUT017,2017.684411555636
FDQ56,OUT045,1271.490758508439
NCC54,OUT019,567.6056701547533
FDU11,OUT049,2146.2063939601067
DRL59,OUT013,916.510063291365
FDM24,OUT049,2800.4987161572662
FDI57,OUT045,4003.162393044692
DRC12,OUT018,2815.2194129956756
NCM42,OUT027,2958.5005867601567
FDA46,OUT010,505.57869904195354
FDA31,OUT013,3018.205402070639
NCJ31,OUT035,3575.1720804054094
FDG52,OUT046,795.4411100714758
NCL19,OUT019,266.8076076952883
FDS10,OUT035,3199.813824302922
FDX22,OUT010,396.71575473745065
NCF19,OUT035,952.6134688907757
NCE06,OUT046,2311.2051169723727
DRC27,OUT046,3688.4476139288427
FDE21,OUT035,2002.6734718387443
NCR42,OUT019,180.86234802543015
FDX51,OUT018,2788.540133470761
NCR06,OUT018,547.3102330453212
FDU31,OUT027,5966.993711735146
FDU59,OUT017,2591.591683476628
FDR03,OUT027,5416.766735741058
FDS49,OUT027,2294.18989219894
FDD48,OUT010,147.6639728641033
NCF18,OUT017,3015.2586786441966
NCD43,OUT027,2808.3745158831302
NCD54,OUT018,1953.087851833633
FDY19,OUT010,249.373685688171
NCY54,OUT017,2488.001355849534
NCL19,OUT018,1965.1544024373552
FDP23,OUT010,621.0038364534234
FDC26,OUT013,1900.9805874259873
FDR14,OUT010,82.58014978100829
NCS41,OUT035,3290.2246287590688
FDF41,OUT035,4034.6593748024843
FDU34,OUT046,1914.9933223956396
DRH11,OUT046,1012.7636253318801
FDM03,OUT013,2058.8294752243073
FDS31,OUT017,3255.688397362632
FDJ20,OUT017,2112.483648216627
FDV44,OUT027,5222.737883129659
FDG02,OUT049,3134.2231497861862
FDA09,OUT013,3041.1320721427383
FDT04,OUT013,486.29698160424596
FDL58,OUT019,511.11571989378274
FDE52,OUT045,1333.0460171106608
FDW12,OUT035,2518.7462213281506
FDL51,OUT017,3813.684069156271
NCY42,OUT027,3732.2678232301632
FDR07,OUT017,1621.609689383074
FDN40,OUT045,2234.265355563772
FDB35,OUT027,2285.916257351645
FDA22,OUT017,2762.2678846998206
NCL06,OUT046,3701.323498779885
FDI35,OUT013,2623.6840348414853
NCW42,OUT045,3337.8686917524656
NCX06,OUT049,3280.661142159579
FDC37,OUT027,2665.82717866817
FDZ14,OUT018,1798.2211787451624
DRG49,OUT049,4295.838221899625
NCG06,OUT045,3839.7158055758073
DRC36,OUT045,3138.2204881068346
FDV21,OUT019,378.3754024002311
FDB53,OUT046,2394.461842159096
DRP47,OUT019,249.71794994688946
FDA14,OUT013,2392.5529434478976
DRC24,OUT035,2591.5488990591593
FDW21,OUT018,1169.675635668665
NCH29,OUT046,1856.8264563659077
FDU58,OUT013,3104.155527884249
FDY27,OUT017,3099.198564544329
FDV56,OUT035,1907.7754606781732
FDT59,OUT046,3995.2540329717895
FDB23,OUT046,3701.8059386456343
FDR49,OUT045,723.2445606615051
FDB03,OUT010,464.6640077303282
FDN39,OUT045,2416.396363078187
FDX02,OUT027,5875.460925782997
FDQ16,OUT027,2838.0743694465855
FDU35,OUT018,1687.268726830146
NCT29,OUT013,1773.6565136862846
FDZ27,OUT046,610.3712578781174
FDN57,OUT017,2425.3403449846737
FDA03,OUT018,2076.8678540906867
FDZ36,OUT045,3215.9166952118335
NCU05,OUT013,1057.0919907089383
FDT39,OUT018,2085.2912934175597
FDK60,OUT017,1640.9887960765373
FDZ25,OUT017,3282.61023849738
FDG12,OUT046,2487.0424029273618
DRB01,OUT019,502.50253220428397
NCC43,OUT027,6244.2055614413775
FDX13,OUT019,705.9025016286869
FDM22,OUT049,898.0354528616276
FDJ03,OUT027,1331.023940779086
FDU14,OUT018,3677.9817051519417
FDB33,OUT010,413.74543515718256
FDP27,OUT046,3028.068259316544
FDO38,OUT010,136.59068154603284
FDE28,OUT027,5878.875871707384
FDO27,OUT035,1636.882321883688
DRL23,OUT027,2572.8124787566903
FDS28,OUT046,1011.2154705086487
FDX24,OUT013,1405.275432301583
FDZ02,OUT035,1724.424301381312
FDL46,OUT045,1633.1965710683382
FDS60,OUT027,4481.27532614901
NCO06,OUT017,418.1505208577664
FDO16,OUT035,1203.2454534890987
FDC60,OUT049,1678.2924691425815
FDA48,OUT018,3220.4166499709404
FDZ36,OUT027,4785.288073939458
FDK27,OUT045,1543.1652658976693
FDW23,OUT018,495.61042128134113
FDM14,OUT018,1495.0218713730505
