Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1833.0034251975144
FDW14,OUT017,1520.3241097726568
NCN55,OUT010,1883.5474375545737
FDQ58,OUT017,2577.4617915615117
FDY38,OUT027,5133.313854597231
FDH56,OUT046,1954.9962432864495
FDL48,OUT018,596.311248180418
FDC48,OUT027,2780.879049219628
FDN33,OUT045,1498.008690651489
FDA36,OUT017,3087.6725384563915
FDT44,OUT017,2024.433137147238
FDQ56,OUT045,1339.8814601458494
NCC54,OUT019,1876.04418212557
FDU11,OUT049,2060.7062328368647
DRL59,OUT013,908.4213144717842
FDM24,OUT049,2556.5468096869536
FDI57,OUT045,3267.5238250393195
DRC12,OUT018,2750.8614158846713
NCM42,OUT027,3185.1113722703153
FDA46,OUT010,1122.6583242357865
FDA31,OUT013,2835.0062215576636
NCJ31,OUT035,3887.9856695471535
FDG52,OUT046,772.8792142335797
NCL19,OUT019,370.0548870430366
FDS10,OUT035,3008.7634912455114
FDX22,OUT010,1448.5386823239892
NCF19,OUT035,911.0745963639365
NCE06,OUT046,2528.708055451044
DRC27,OUT046,3864.8694674455774
FDE21,OUT035,2055.4792864536944
NCR42,OUT019,-1373.5416082640716
FDX51,OUT018,2867.948533061678
NCR06,OUT018,415.50884230120323
FDU31,OUT027,4978.532066292577
FDU59,OUT017,2719.962116984996
FDR03,OUT027,4755.198392591592
FDS49,OUT027,2780.902481743334
FDD48,OUT010,-72.41107254102224
NCF18,OUT017,3108.121358930296
NCD43,OUT027,3089.879112640775
NCD54,OUT018,1979.7467636031088
FDY19,OUT010,-9.08274438848946
NCY54,OUT017,2807.562799248265
NCL19,OUT018,2025.5009411409787
FDP23,OUT010,1538.937421023193
FDC26,OUT013,1847.7240010054566
FDR14,OUT010,-1084.3238557155062
NCS41,OUT035,3048.515311805571
FDF41,OUT035,4022.38826246962
FDU34,OUT046,1987.2001757515545
DRH11,OUT046,947.1300102885389
FDM03,OUT013,1736.4639076463836
FDS31,OUT017,3057.035510284471
FDJ20,OUT017,2127.9469335587683
FDV44,OUT027,4523.143719834792
FDG02,OUT049,3133.5697337240995
FDA09,OUT013,2915.3356499765077
FDT04,OUT013,647.4014290528239
FDL58,OUT019,2280.6480503595076
FDE52,OUT045,1391.5209864455287
FDW12,OUT035,2506.987036294863
FDL51,OUT017,3502.0184161676207
NCY42,OUT027,3680.9699573569233
FDR07,OUT017,1693.3267997677453
FDN40,OUT045,2334.7554069597218
FDB35,OUT027,2978.289361728271
FDA22,OUT017,2762.758364865149
NCL06,OUT046,4105.505570359941
FDI35,OUT013,2937.803412992952
NCW42,OUT045,3400.2871715845813
NCX06,OUT049,2930.013523416792
FDC37,OUT027,3199.5259441182156
FDZ14,OUT018,1682.4111965971842
DRG49,OUT049,3947.4382667194714
NCG06,OUT045,3946.508473194074
DRC36,OUT045,2712.2541481750377
FDV21,OUT019,45.38988079993669
FDB53,OUT046,2327.233254397722
DRP47,OUT019,2056.558810430089
FDA14,OUT013,2297.271565448098
DRC24,OUT035,2559.8416778752894
FDW21,OUT018,1393.4728964187007
NCH29,OUT046,1574.3436693609447
FDU58,OUT013,3067.388240739655
FDY27,OUT017,2886.563349202473
FDV56,OUT035,1980.4002661995542
FDT59,OUT046,3664.2572009333735
FDB23,OUT046,3644.3580708818945
FDR49,OUT045,717.4637577097735
FDB03,OUT010,1864.9385633076436
FDN39,OUT045,2607.424057408736
FDX02,OUT027,4932.6444558993335
FDQ16,OUT027,3163.1062408737885
FDU35,OUT018,1333.1769757977609
NCT29,OUT013,1981.7655811828172
FDZ27,OUT046,769.080089724388
FDN57,OUT017,2337.436318854361
FDA03,OUT018,2041.1847069174592
FDZ36,OUT045,2923.6877917931124
NCU05,OUT013,1345.1831510660554
FDT39,OUT018,2189.6639987697754
FDK60,OUT017,1709.7646911467855
FDZ25,OUT017,2872.525119864359
FDG12,OUT046,2016.6366788878204
DRB01,OUT019,1104.0595261305643
NCC43,OUT027,5364.626285055439
FDX13,OUT019,2057.942092042252
FDM22,OUT049,1016.1740786999319
FDJ03,OUT027,2257.7829005965978
FDU14,OUT018,3615.6592536879707
FDB33,OUT010,661.5957935196147
FDP27,OUT046,3015.1929638508664
FDO38,OUT010,-646.6954269454758
FDE28,OUT027,5119.619158600453
