Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2181.3562088873823
FDW14,OUT017,2181.127078794877
NCN55,OUT010,2179.2397106456765
FDQ58,OUT017,2181.927630441459
FDY38,OUT027,2185.0137906940977
FDH56,OUT046,2181.0039105727724
FDL48,OUT018,2179.933966818976
FDC48,OUT027,2183.3314499806183
FDN33,OUT045,2180.886461818497
FDA36,OUT017,2182.073634495676
FDT44,OUT017,2181.249480222757
FDQ56,OUT045,2180.7530193425187
NCC54,OUT019,2178.4188570830675
FDU11,OUT049,2181.11527013196
DRL59,OUT013,2180.77264790543
FDM24,OUT049,2181.4114210888806
FDI57,OUT045,2182.2429228833425
DRC12,OUT018,2181.433756072595
NCM42,OUT027,2183.732782366536
FDA46,OUT010,2178.7180903927797
FDA31,OUT013,2182.162719539074
NCJ31,OUT035,2182.105805488713
FDG52,OUT046,2180.019060359472
NCL19,OUT019,2177.743926155513
FDS10,OUT035,2182.287357949216
FDX22,OUT010,2179.500073940596
NCF19,OUT035,2180.629419462101
NCE06,OUT046,2181.17517295281
DRC27,OUT046,2182.1203299193257
FDE21,OUT035,2181.592703727226
NCR42,OUT019,2176.5815067514172
FDX51,OUT018,2181.9211792203796
NCR06,OUT018,2180.1124447866046
FDU31,OUT027,2185.1968791052263
FDU59,OUT017,2181.6797483597447
FDR03,OUT027,2185.017423618172
FDS49,OUT027,2183.305584488477
FDD48,OUT010,2178.0543258504586
NCF18,OUT017,2181.9998455594578
NCD43,OUT027,2183.70267661032
NCD54,OUT018,2181.207208298436
FDY19,OUT010,2178.3020234526234
NCY54,OUT017,2181.4641189624667
NCL19,OUT018,2181.0272518681973
FDP23,OUT010,2179.3569504767243
FDC26,OUT013,2181.3429471984787
FDR14,OUT010,2176.7850636877715
NCS41,OUT035,2181.930182954875
FDF41,OUT035,2182.604397788824
FDU34,OUT046,2180.980064035725
DRH11,OUT046,2179.864514301214
FDM03,OUT013,2181.2693503119754
FDS31,OUT017,2182.237670272188
FDJ20,OUT017,2181.402239200996
FDV44,OUT027,2184.8173318762906
FDG02,OUT049,2182.1774829965575
FDA09,OUT013,2182.4428375262855
FDT04,OUT013,2180.534895096465
FDL58,OUT019,2179.209692881218
FDE52,OUT045,2181.1068117357313
FDW12,OUT035,2181.6900915601095
FDL51,OUT017,2182.579474410011
NCY42,OUT027,2184.1364210513625
FDR07,OUT017,2181.103940073354
FDN40,OUT045,2181.465084243645
FDB35,OUT027,2183.657468473728
FDA22,OUT017,2181.8644925275316
NCL06,OUT046,2182.413928472236
FDI35,OUT013,2182.5235104352005
NCW42,OUT045,2182.3517944783043
NCX06,OUT049,2182.0105103761284
FDC37,OUT027,2183.582310117699
FDZ14,OUT018,2181.041332999154
DRG49,OUT049,2182.2587886969145
NCG06,OUT045,2182.837944611159
DRC36,OUT045,2181.6361922736382
FDV21,OUT019,2176.9786720962275
FDB53,OUT046,2180.914342644514
DRP47,OUT019,2178.2937319804605
FDA14,OUT013,2181.9467595571737
DRC24,OUT035,2181.5818465937973
FDW21,OUT018,2180.9722867997243
NCH29,OUT046,2180.463084980005
FDU58,OUT013,2182.666132013007
FDY27,OUT017,2182.0820726169345
FDV56,OUT035,2181.633774461118
FDT59,OUT046,2182.2943691591236
FDB23,OUT046,2182.495581830429
FDR49,OUT045,2180.1406334268304
FDB03,OUT010,2179.102385385416
FDN39,OUT045,2181.818378598826
FDX02,OUT027,2185.0102575055894
FDQ16,OUT027,2183.689022791137
FDU35,OUT018,2180.554332666367
NCT29,OUT013,2181.4157333268104
FDZ27,OUT046,2180.2327283855416
FDN57,OUT017,2181.659792032943
FDA03,OUT018,2181.342336082354
FDZ36,OUT045,2181.8566414034804
NCU05,OUT013,2180.966400947018
FDT39,OUT018,2181.4561553541666
FDK60,OUT017,2180.8714657085034
FDZ25,OUT017,2182.107876066685
FDG12,OUT046,2180.9904604062426
DRB01,OUT019,2177.8397764071537
NCC43,OUT027,2185.11589293843
FDX13,OUT019,2179.0619879935994
FDM22,OUT049,2180.685360549276
FDJ03,OUT027,2183.0666377262824
FDU14,OUT018,2182.3530800016065
FDB33,OUT010,2178.9290760810945
FDP27,OUT046,2181.470131484503
FDO38,OUT010,2177.603633745477
FDE28,OUT027,2184.8811123531627
FDO27,OUT035,2180.803690048597
DRL23,OUT027,2183.561718670417
FDS28,OUT046,2180.1269740898756
FDX24,OUT013,2181.299149804078
FDZ02,OUT035,2181.3287355028187
FDL46,OUT045,2181.3135581753068
FDS60,OUT027,2184.3849605938967
NCO06,OUT017,2180.131392811331
FDO16,OUT035,2181.12144153783
